Date,Region,Quarter,Noise,Region_Adjustment,Quarter_Adjustment,Europe_Q4_Adjustment,Value
1/1/2020,Europe,1,0.584773597,1,2,0,3.584773597
2/1/2020,Europe,1,0.053899885,1,2,0,3.053899885
3/1/2020,Europe,1,0.30353856,1,2,0,3.30353856
4/1/2020,Europe,2,0.870753108,1,0,0,1.870753108
5/1/2020,Europe,2,0.258575864,1,0,0,1.258575864
6/1/2020,Europe,2,0.9265931,1,0,0,1.9265931
7/1/2020,Europe,3,0.321698533,1,0,0,1.321698533
8/1/2020,Europe,3,0.613098067,1,0,0,1.613098067
9/1/2020,Europe,3,0.788033817,1,0,0,1.788033817
10/1/2020,Europe,4,0.488288477,1,2,-1,2.488288477
11/1/2020,Europe,4,0.868892218,1,2,-1,2.868892218
12/1/2020,Europe,4,0.391566118,1,2,-1,2.391566118
1/1/2021,Europe,1,0.467742625,1,2,0,3.467742625
2/1/2021,Europe,1,0.396575074,1,2,0,3.396575074
3/1/2021,Europe,1,0.006248045,1,2,0,3.006248045
4/1/2021,Europe,2,0.740893481,1,0,0,1.740893481
5/1/2021,Europe,2,0.246017264,1,0,0,1.246017264
6/1/2021,Europe,2,0.729453889,1,0,0,1.729453889
7/1/2021,Europe,3,0.300150273,1,0,0,1.300150273
8/1/2021,Europe,3,0.220542242,1,0,0,1.220542242
9/1/2021,Europe,3,0.513004847,1,0,0,1.513004847
10/1/2021,Europe,4,0.057146291,1,2,-1,2.057146291
11/1/2021,Europe,4,0.70511416,1,2,-1,2.70511416
12/1/2021,Europe,4,0.062651837,1,2,-1,2.062651837
1/1/2022,Europe,1,0.589930264,1,2,0,3.589930264
2/1/2022,Europe,1,0.576176608,1,2,0,3.576176608
3/1/2022,Europe,1,0.546305073,1,2,0,3.546305073
4/1/2022,Europe,2,0.800600065,1,0,0,1.800600065
5/1/2022,Europe,2,0.98470792,1,0,0,1.98470792
6/1/2022,Europe,2,0.107425883,1,0,0,1.107425883
7/1/2022,Europe,3,0.356357395,1,0,0,1.356357395
8/1/2022,Europe,3,0.586042282,1,0,0,1.586042282
9/1/2022,Europe,3,0.656751181,1,0,0,1.656751181
10/1/2022,Europe,4,0.54629589,1,2,-1,2.54629589
11/1/2022,Europe,4,0.789323304,1,2,-1,2.789323304
12/1/2022,Europe,4,0.72404907,1,2,-1,2.72404907
1/1/2020,N. America,1,0.799557087,0,2,0,2.799557087
2/1/2020,N. America,1,0.380013942,0,2,0,2.380013942
3/1/2020,N. America,1,0.159531766,0,2,0,2.159531766
4/1/2020,N. America,2,0.813953037,0,0,0,0.813953037
5/1/2020,N. America,2,0.574573124,0,0,0,0.574573124
6/1/2020,N. America,2,0.556387611,0,0,0,0.556387611
7/1/2020,N. America,3,0.643878469,0,0,0,0.643878469
8/1/2020,N. America,3,0.271888812,0,0,0,0.271888812
9/1/2020,N. America,3,0.195355666,0,0,0,0.195355666
10/1/2020,N. America,4,0.803165239,0,2,0,2.803165239
11/1/2020,N. America,4,0.945354702,0,2,0,2.945354702
12/1/2020,N. America,4,0.281023619,0,2,0,2.281023619
1/1/2021,N. America,1,0.663215204,0,2,0,2.663215204
2/1/2021,N. America,1,0.447510255,0,2,0,2.447510255
3/1/2021,N. America,1,0.198752728,0,2,0,2.198752728
4/1/2021,N. America,2,0.949295457,0,0,0,0.949295457
5/1/2021,N. America,2,0.609765049,0,0,0,0.609765049
6/1/2021,N. America,2,0.852111646,0,0,0,0.852111646
7/1/2021,N. America,3,0.336248576,0,0,0,0.336248576
8/1/2021,N. America,3,0.830495221,0,0,0,0.830495221
9/1/2021,N. America,3,0.901120515,0,0,0,0.901120515
10/1/2021,N. America,4,0.72863416,0,2,0,2.72863416
11/1/2021,N. America,4,0.637462912,0,2,0,2.637462912
12/1/2021,N. America,4,0.653883186,0,2,0,2.653883186
1/1/2022,N. America,1,0.917860413,0,2,0,2.917860413
2/1/2022,N. America,1,0.706554154,0,2,0,2.706554154
3/1/2022,N. America,1,0.303809124,0,2,0,2.303809124
4/1/2022,N. America,2,0.926205597,0,0,0,0.926205597
5/1/2022,N. America,2,0.810453231,0,0,0,0.810453231
6/1/2022,N. America,2,0.699602433,0,0,0,0.699602433
7/1/2022,N. America,3,0.319162818,0,0,0,0.319162818
8/1/2022,N. America,3,0.038336607,0,0,0,0.038336607
9/1/2022,N. America,3,0.620569321,0,0,0,0.620569321
10/1/2022,N. America,4,0.563658843,0,2,0,2.563658843
11/1/2022,N. America,4,0.634510766,0,2,0,2.634510766
12/1/2022,N. America,4,0.146337392,0,2,0,2.146337392
